([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
([0, 0.0, 'N'], [0, 0.0, 'W'])
